pktnum,Ai,ETp,Fs1,GQ,MET,Pmax,Pr,Pv,Qdot,Qsgf,R10,R90,dF,dP,dt,ser
1223,0.5262713248419764,0.0,0.6628264988456356,0.8522286375130715,0.21702148016642492,0.7424948988627144,0.33658316499215013,0.3829262622633789,0.8434798507659925,0.8405204067505123,0.6605720447727573,0.9412165266451447,0.433151340342287,0.3793908502561035,0.33666467375824116,0.5052084261495131
1224,0.5201415289270869,0.0,0.6720705500293643,0.8222319104975527,0.2125667042177278,0.6764327370999722,0.34006430563906953,0.2919225958433083,0.8005618818462059,0.8171567229407678,0.6275138557789518,0.9822277398238753,0.4379210225165994,0.2585381419354529,0.21662722554421773,0.4742520392790131
1225,0.5169035186255533,0.009095207408303193,0.6572937044146955,0.8259245110005349,0.20794859518098038,0.7179403714644245,0.34220761208003375,0.3547340907217849,0.8118865813466757,0.8107751684693547,0.6743970329307785,0.9805999030744204,0.43062357235694665,0.34562575645515503,0.283355220948355,0.5063720051553526
1226,0.5140449637656976,0.01821093637276884,0.6347872566407855,0.8646143366484649,0.19808596266811238,0.7608460322219618,0.343936096452464,0.3961030478777537,0.8506949947898164,0.8464491017497626,0.6566393284037564,0.9329260120324692,0.423863231358622,0.3884643195443133,0.2968627516434507,0.4906353568374747
1239,0.5357591310015948,0.0,0.6875527467773282,0.8240749843957558,0.16878516432786528,0.6868569231333423,0.32966867960598256,0.31938146261712674,0.8113157260735764,0.8160260130490204,0.6555859515204635,0.9692785518123112,0.4333134627311284,0.3006654785929815,0.29390712657745044,0.5099086683809321
1240,0.5364108230007938,0.0,0.7290200507357689,0.8219351077975842,0.17737355228866886,0.6843356970533823,0.32939589163394684,0.3304261304387616,0.8060850008369013,0.8185852033912243,0.6372808451100307,0.9672850456868469,0.43695318671827127,0.2944555690561831,0.26692352534619734,0.49734124760388565
1241,0.5335938775886969,0.0,0.8056176207662485,0.8300493250988719,0.17611520620810675,0.7286249126293459,0.33131059633983906,0.38572811200851287,0.8236142482144699,0.8170704404208458,0.6972122893902307,0.970609722250754,0.44655827711939894,0.39027980768869475,0.3480299915234044,0.5424257553121675
1242,0.5294930037902941,0.0,0.7387374316451282,0.8310806414225284,0.18698254881052911,0.7259368777229203,0.3339288000832545,0.38411779827695347,0.8225821502776084,0.8184366232043319,0.693803569687522,0.9682945074003168,0.4410483089308704,0.38478231353419756,0.33096364415108936,0.5357457370398383
1255,0.5031837618065033,0.0,0.5978504524443463,0.8278562271333119,0.19132599300010106,0.7017616733364905,0.35178577661469035,0.3160258466157839,0.814233134720113,0.8115130537106047,0.679094689873525,0.9785508155054702,0.4370826496778596,0.3105068753715741,0.28705240843536767,0.49738818116596634
1256,0.49906073417243346,0.0,0.5903309078951037,0.8249461031645617,0.1870076658277003,0.6824471808665991,0.3541125639068833,0.2980403001307589,0.8076868228196983,0.8127402936800128,0.6529911891407141,0.9779596111144435,0.43789405167020473,0.27648809064284613,0.2550446221279379,0.4734352217918856
1257,0.5001232662138384,0.0,0.5523077553397556,0.8230672714411045,0.1713385117678445,0.691822571537629,0.35341496281346246,0.31537027794565764,0.8083365008692708,0.8084621890636811,0.6635473433072074,0.976312624996629,0.42149436988517847,0.29689509522083013,0.2769871198735131,0.48221262032968076
1258,0.4996165682288434,0.0,0.5249799525084936,0.9865634507787352,0.16690083112400142,0.8219862384712363,0.353060280437251,0.3609335769896898,0.9683146356668936,0.9738255466553415,0.5458885007441534,0.80035193162468,0.4235774714241779,0.329226843271544,0.29818764189113134,0.3966129546124273
1271,0.5785393237683674,0.0,0.6453163947356355,0.8102405192645279,0.29913678299645313,0.6743351582303218,0.304889772742545,0.2883247015199188,0.7913306783793704,0.7974372770061858,0.6426673630121278,0.9730676344281688,0.41896224694426454,0.2722214881396953,0.23815563471460569,0.5398451660403745
